Pond_ID,Country,Pondscape,BioMP,BioZP,BioMI,BioAmph,MDiv,logCH4.std,logCHLa.std,logBMzp.std,logBMmi.std,Plants.std,EMF,MAT.std,AI.std,Aridity.std,logArea,logDepth,logTN,logTP,Cropland.std,Latitude,Longitude,FishPA,Hydrop,AI,Ard,Year
DK010,Denmark,Laven,16,18,22,2,0.612547778,0.606936076,0.636518948,0.754288705,0.7443038,0.125,0.573409506,0.521354848,0.927307377,0.119910938,7.355641103,4.248495242,0.251536626,-1.793761472,0.65,56.15171,9.70283,1,1,0.992967651,0,2021
DK028,Denmark,Laven,22,12,25,2,0.629747969,0.392519686,0.3149055,0.602205853,0.742667447,0.125,0.435459697,0.521354848,0.916823627,0.137204527,7.901007052,5.247024072,0.588527131,-0.561534294,0.85,56.14232,9.71524,1,1,0.981741573,0,2021
DK031,Denmark,Laven,14,14,25,3,0.611308528,0.499218018,0.668747706,0.810324206,0.790367878,0.4375,0.641231561,0.521354848,0.911701707,0.145653448,7.229838778,4.941642423,-0.164481639,-1.61110597,0.95,56.13872,9.71671,1,1,0.976256983,0,2021
DK032,Denmark,Laven,19,18,19,1,0.579237339,0.576895919,0.696035691,0.811628433,0.788488158,0.125,0.59960964,0.521354848,0.920831767,0.130592854,7.122866659,5.247024072,0.204572166,-1.282535127,0.75,56.12981,9.70202,0,1,0.98603352,0,2021
DK033,Denmark,RyHule,16,13,13,4,0.534161491,0.727820816,0.489405374,0.576730323,0.514317725,0.4375,0.549154848,0.522827122,0.944547564,0.091472193,6.173786104,4.605170186,-0.137348191,-1.915057686,0.4,56.04286,9.65095,1,1,1.011428571,0,2021
DK035,Denmark,RyHule,14,15,13,3,0.506793478,0.671740037,0.579227785,0.433838361,0.686741783,0.125,0.499309593,0.522827122,0.947254004,0.087007755,6.620073207,4.787491743,-0.16134315,-1.549597912,0,56.04741,9.64648,1,1,1.014326648,0,2021
DK036,Denmark,RyHule,19,15,15,6,0.664417105,0.622731156,0.653680144,0.579733261,0.804817018,0.4375,0.619692316,0.522827122,0.947254004,0.087007755,6.253828812,4.700480366,0.061095099,-1.466781612,0.3,56.04919,9.64876,1,1,1.014326648,0,2021
DK037,Denmark,RyHule,11,10,18,3,0.473736861,0.705444099,0.456858417,0.345250231,0.800905166,0.125,0.486691583,0.522827122,0.944547564,0.091472193,8.070906089,5.135798437,-0.149273703,-1.958995389,0.65,56.04352,9.65645,0,1,1.011428571,0,2021
DK038,Denmark,RyHule,10,11,18,2,0.444427855,0.493256171,0.55640772,0.665836718,0.808499706,0.4375,0.592300063,0.515451205,0.982610062,0.02868577,5.480638923,4.941642423,-0.33780646,-1.456716825,0.95,56.02286,9.61469,1,1,1.052186178,0,2021
DK039,Denmark,RyHule,10,8,16,2,0.39258839,0.798608415,0.313982759,0.115492482,0.679995243,0.625,0.50661578,0.515451205,0.978469851,0.035515301,6.194405391,4.86753445,-0.156264022,-1.401069647,0.6,56.02103,9.60359,1,1,1.047752809,0,2021
SP006,Spain,Albera,28,20,17,4,0.755852843,0.578585588,0.555259237,0.70079669,0.579687888,1,0.68286588,0.970582793,0.412043413,0.969870439,10.11358274,3.034952987,2.075684493,-0.176737179,0,42.397714,2.907138,0,0,0.441219158,1,2022
SP008,Spain,Albera,21,21,19,4,0.723453177,0.573736096,0.703692273,0.89743463,0.68028637,1,0.771029874,0.970582793,0.406150601,0.979590994,7.845948393,3.594568775,0.985816795,-2.590267165,0,42.396952,2.979768,0,0,0.434909091,1,2022
SP010,Spain,Albera,20,16,16,6,0.693830626,0.882306575,0.658267285,0.572781519,0.735991909,1,0.769869457,0.96856993,0.393778217,1,9.362794471,3.186352633,0.861200766,-2.577021939,0,42.373036,2.950593,0,0,0.42166065,1,2022
SP014,Spain,Albera,23,23,20,4,0.772664835,0.51121407,0.604955829,0.883321515,0.72214839,1,0.744327961,0.970582793,0.403801212,0.983466455,9.507902476,4.012772909,0.804241228,-2.103734234,0,42.379075,2.958871,0,0,0.432393348,1,2022
SP019,Spain,Albera,20,16,14,1,0.518349857,0.28584511,0.651134476,0.616608436,0.80322762,1,0.671363129,0.970582793,0.401478847,0.987297338,9.346206911,3.786459782,1.434369984,-0.260066905,0,42.381861,2.983194,0,0,0.429906542,1,2022
SP020,Spain,Albera,19,20,16,4,0.665880315,0.392029287,0.579032907,0.756751383,0.658473094,1,0.677257334,0.970582793,0.408016741,0.976512683,9.317297912,3.218875825,1.005765738,-2.538307427,0,42.398275,2.928762,0,0,0.436907367,1,2022
SP038,Spain,Garrtoxa,6,15,9,7,0.521903368,0.145959133,0.379923423,0.667998254,0.703071256,0.0125,0.381890413,0.731946659,0.550801294,0.740980807,4.739613663,3.222867846,0.376379527,-2.17448509,0,42.2587413,2.51817,0,0,0.589802131,1,2021
SP039,Spain,Garrtoxa,14,12,15,7,0.618415552,0.089209476,1,0.911032119,0.950223925,0.75,0.740093104,0.731946659,0.563231829,0.720475878,4.758835034,3.424262655,1.650003874,-2.858873091,0.35,42.2898854,2.5140633,0,0,0.60311284,1,2021
SP040,Spain,Garrtoxa,10,9,14,3,0.415477186,0.253998752,0.453004353,0.937665757,0.919115625,0.25,0.562756897,0.731946659,0.565431953,0.716846638,4.454928523,3.552486829,0.875468737,-2.654509434,0,42.2844566,2.5013696,0,0,0.60546875,1,2021
SP041,Spain,Garrtoxa,7,9,15,1,0.335806856,0.327361161,0.741691342,1,0.857055078,0.5,0.685221516,0.731946659,0.584858204,0.684801846,4.435448911,3.295836866,0.884180678,-2.419118909,0,42.2887268,2.498061,0,0,0.626270524,1,2021
SP042,Spain,Garrtoxa,10,9,8,5,0.420284878,0.312211397,0.595413737,0.718525342,0.8719756,0.5,0.599625215,0.731946659,0.557161586,0.730489115,4.5582882,2.912350665,-0.023780529,-2.273026291,0,42.276232,2.5099721,0,0,0.596612779,1,2021
SP043,Spain,Garrtoxa,12,14,12,5,0.530951386,0.274533705,0.639127223,0.693787588,0.327542568,0.5,0.486998217,0.731946659,0.534552999,0.767783365,5.059298466,2.954910279,0.514020515,-1.676646662,0,42.267928,2.5564293,0,0,0.572403336,1,2021
SP044,Spain,Gavarres,14,16,18,6,0.659489967,0.511987664,0.730810569,0.811218322,0.571303539,1,0.725064019,1,0.494867657,0.833246771,7.094799002,3.068052935,0.05921186,-3.473768074,1,41.835895,2.92207,1,0,0.529907975,1,2022
SP045,Spain,Gavarres,13,12,11,5,0.508525442,0.459221383,0.165654481,0.751792217,0.77488792,0.25,0.4803112,1,0.50373502,0.818619513,4.180828022,4.338597077,1.40388867,-1.434085025,0.75,41.842304,2.877554,1,0,0.539403213,1,2022
SP046,Spain,Gavarres,13,16,17,6,0.640946011,0.472739818,0.516799888,0.717415212,0.780142548,1,0.697419493,1,0.504893919,0.816707837,6.223409254,2.980618636,0.511025604,-2.733368009,0.5,41.869687,2.895044,0,0,0.540644172,1,2022
SP047,Spain,Gavarres,17,9,18,7,0.641438724,0.460031754,0.097471678,0.806346062,0.752901259,0.25,0.473350151,1,0.492977406,0.836364856,6.31336687,4.833102254,0.461425273,-2.154165088,0,41.86619,2.917223,0,0,0.527883881,1,2022
SP048,Spain,Gavarres,13,17,18,4,0.59893096,0.352369956,0.48222605,0.835861461,0.864764526,0.25,0.557044399,1,0.493731771,0.835120484,4.839609697,4.993828176,0.169461441,-1.870802677,0.6,41.873516,2.933183,0,0,0.52869166,1,2022
SP049,Spain,Gavarres,15,17,14,5,0.609576565,0.828229116,0.71158063,0.574924105,0.726014284,1,0.768149627,1,0.50373502,0.818619513,4.599152114,3.258096538,0.448524598,-3.170085661,0,41.865467,2.89462,0,0,0.539403213,1,2022
SP026,Spain,Osona,15,14,17,8,0.699564023,0.52579111,0.909903487,0.564647266,0.586188611,0.5,0.617306095,0.766915197,0.514499004,0.800863661,5.174000532,3.487375078,-0.225020311,-3.182061852,0,41.961359,2.352073,0,0,0.550929368,1,2021
SP027,Spain,Osona,7,18,22,5,0.625940635,0.066680746,0.259423952,0.498684937,0.888322553,0.5,0.442622437,0.766915197,0.520693123,0.790646082,5.905143841,3.561046083,0.509424643,-2.00495269,0.85,41.961379,2.36738,0,0,0.557562077,1,2021
SP028,Spain,Osona,12,17,21,1,0.525098543,0.166067327,0.319842258,0.514965145,0.760257434,1,0.552226433,0.766915197,0.517190703,0.796423538,5.783332753,3.122364924,0.979328127,-1.718509007,0.5,41.9637,2.36275,1,0,0.553811659,1,2021
SP029,Spain,Osona,11,13,17,6,0.590480172,0.341343506,0.706901503,0.354433382,0.877270645,0.25,0.505989807,0.766915197,0.513735085,0.802123791,4.856084534,4.028916757,-0.025659747,-3.071893635,0,41.96811,2.37433,0,0,0.550111359,1,2021
SP030,Spain,Osona,13,13,20,6,0.637183469,0.131606531,0.035123195,0.566242558,1,0.75,0.496594457,0.789982716,0.532132382,0.771776322,5.514839042,3.535145354,1.596555287,-1.194022473,0.4,41.963472,2.375213,0,0,0.569811321,1,2021
SP031,Spain,Osona,10,14,15,3,0.479440397,0.174220512,0.314896335,0.487871661,0.854749805,0.25,0.416347662,0.766915197,0.520693123,0.790646082,4.008060194,3.751854253,1.033658867,-2.216407397,0.1,41.958504,2.3689078,0,0,0.557562077,1,2021
SP032,Spain,Selva,8,14,12,7,0.5577371,1,0.849487925,0.490026051,0.555181639,0.25,0.628939123,0.937734588,0.536799738,0.764077232,6.337338874,4.335982696,-0.372514008,-3.816712826,0,41.828848,2.718302,1,0,0.57480916,1,2021
SP033,Spain,Selva,8,13,14,3,0.441098304,0.250234333,0.63698264,0.301267997,0.399908852,0.25,0.367678764,0.937734588,0.553036745,0.737293294,4.02820476,4.671893818,0.274343508,-2.216407397,0.5,41.812627,2.700843,1,0,0.592195868,1,2021
SP034,Spain,Selva,9,12,8,1,0.318965002,0.43484742,0.523534495,0.516557819,0.237000263,0.25,0.392388,0.937734588,0.562194013,0.722187818,7.246161359,4.434381865,-0.260931957,-3.123565645,0.95,41.835919,2.699126,1,1,0.60200154,1,2021
SP035,Spain,Selva,6,15,5,1,0.29594183,0.436725683,0.54218068,0.457770104,0.146470799,0.0125,0.319129453,0.937734588,0.53639028,0.764752659,5.729125282,4.387014176,0.231640682,-2.69809987,0,41.819409,2.724915,1,0,0.574370709,1,2021
SP036,Spain,Selva,10,17,14,3,0.502433708,0,0.468692173,0.824015628,0.554820385,0.75,0.519505637,0.937734588,0.551770248,0.739382457,4.618086411,4.194189897,1.043334458,-0.630485419,0.2,41.8184532,2.70158905,1,1,0.590839695,1,2021
SP037,Spain,Selva,13,11,9,1,0.353425108,0.413686337,0.211019438,0.707970332,0.543308565,0.25,0.425196934,0.937734588,0.538856442,0.760684573,5.372032404,4.786658062,-0.070422464,-2.603690186,0.85,41.810646,2.708835,0,1,0.577011494,1,2021
